378482,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-11,378482,Chief of Staff,null,Finance Canada (FIN);
378483,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-12,378483,MP,null,House of Commons;
378484,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-12,378484,MP,null,House of Commons;
378485,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-16,378485,MP,null,House of Commons;
378486,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-17,378486,MP,null,House of Commons;
378487,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-17,378487,MP,null,House of Commons;
378488,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-17,378488,MP,null,House of Commons;
378489,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-18,378489,MP,null,House of Commons;
378490,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-19,378490,Policy Advisor,null,Transport Canada (TC);
378490,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-19,378490,Policy Advisor,null,Transport Canada (TC),378490,Policy Advisor,null,Transport Canada (TC);
378491,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-31,378491,MP,null,House of Commons;
378491,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-31,378491,MP,null,House of Commons,378491,MP,null,House of Commons;
378491,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-31,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons;
378491,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-31,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons;
378491,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-31,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons;
378491,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-31,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons;
378491,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-31,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons;
378491,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-31,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons;
378491,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-31,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons;
378491,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-31,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons,378491,MP,null,House of Commons;
